Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,486,485,405,453,513,502,672,623,725,887,636,593
2013,531,568,458,509,563,599,571,619,556,541,557,508
2014,569,568,634,585,597,662,679,630,614,644,538,555
2015,685,744,717,695,629,720,810,657,581,677,765,884
2016,672,811,842,843,1148,1156,1162,1386,1140,1130,1170,1415
2017,882,1027,1105,875,892,1156,1100,1335,1275,1091,941,1012
2018,804,862,980,791,904,759,926,964,787,739,799,806
2019,898,799,732,776,860,821,961,770,946,847,677,627
2020,789,744,529,545,595,721,678,559,719,639,694,622
2021,714,667,721,875,1157,1160,1004,1026,799,1026,1124,1253
2022,1409,1444,1384,1474,1324,1453,1253,1609,1622,1660,1706,1839
