Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2012, 58.2, 57.9, 58.1, 61.1, 63.7, 65.1, 68.7, 73.7, 74.8, 69.1, 62.2, 57.4
2013, 55.8, 56.3, 60.1, 61.8, 65.9, 66.6, 70.3, 70.7, 71.5, 66.0, 63.9, 59.4
2014, 61.3, 61.2, 64.1, 65.2, 69.5, 68.4, 73.6, 73.8, 75.6, 71.8, 65.6, 60.5
2015, 60.8, 63.1, 66.6, 65.8, 64.0, 68.9, 72.4, 75.1, 77.2, 74.4, 63.3, 58.1
2016, 58.5, 63.9, 62.7, 65.5, 65.0, 68.9, 70.9, 72.8, 72.0, 70.6, 65.8, 58.9
2017, 57.9, 59.6, 62.7, 65.3, 64.9, 67.7, 73.0, 73.1, 72.8, 71.1, 65.1, 60.2
2018, 61.5, 59.4, 60.8, 63.5, 63.5, 67.5, 75.1, 78.1, 71.9, 69.2, 65.6, 59.5
2019, 58.7, 55.7, 60.5, 64.3, 63.8, 66.3, 70.1, 71.6, 72.4, 67.9, 63.2, 58.7
2020, 58.6, 59.5, 61.2, 64.7, 68.7, 68.5, 71.0, 73.6, 74.2, 71.5, 62.7, 57.9
2021, 58.0, 59.0, 58.9, 63.8, 64.8, 68.2, 73.1, 73.6, 72.5, 66.8, 64.3, 55.6
2022, 56.9, 57.4, 59.4, 62.4, 62.3, 66.4, 69.5, 74.4, 75.6, 68.2, 58.9, 56.3
