Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2012, 83, 75, 81, 76, 72, 76, 81, 86, 101, 92, 87, 71
2013, 80, 78, 80, 79, 85, 80, 80, 89, 88, 88, 84, 82
2014, 82, 76, 87, 94, 97, 76, 85, 85, 93, 93, 91, 77
2015, 80, 86, 90, 86, 79, 82, 88, 90, 96, 99, 84, 77
2016, 72, 89, 76, 87, 72, 88, 85, 84, 101, 91, 96, 83
2017, 77, 74, 80, 82, 85, 83, 82, 85, 94, 98, 92, 80
2018, 83, 81, 74, 85, 80, 78, 96, 91, 85, 87, 88, 78
2019, 78, 71, 82, 81, 72, 79, 84, 84, 86, 94, 91, 75
2020, 80, 84, 77, 88, 85, 93, 84, 88, 100, 97, 90, 80
2021, 88, 82, 88, 88, 76, 87, 84, 86, 86, 90, 92, 69
2022, 77, 91, 85, 95, 81, 77, 80, 85, 95, 95, 82, 82
