Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2012, 43, 46, 45, 49, 57, 59, 62, 65, 65, 54, 47, 41
2013, 39, 44, 48, 52, 58, 57, 63, 63, 59, 55, 51, 44
2014, 46, 48, 52, 52, 57, 62, 67, 67, 64, 61, 50, 43
2015, 41, 51, 50, 56, 53, 61, 64, 60, 67, 62, 47, 41
2016, 44, 44, 48, 56, 58, 61, 63, 62, 61, 61, 47, 41
2017, 44, 47, 48, 54, 53, 58, 64, 66, 60, 59, 50, 41
2018, 47, 44, 47, 53, 54, 60, 63, 70, 63, 57, 50, 41
2019, 41, 41, 50, 55, 55, 61, 62, 64, 57, 44, 48, 41
2020, 43, 38, 49, 51, 58, 58, 63, 61, 61, 51, 42, 41
2021, 42, 45, 44, 51, 54, 57, 65, 64, 60, 50, 45, 38
2022, 38, 38, 42, 48, 49, 56, 63, 67, 62, 51, 42, 39
