Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2012, 0.40, 1.19, 0.97, 0.88, 0.02, 0.01, 0.01, 0.01, 0.01, 0.70, 0.29, 2.19
2013, 1.21, 0.63, 1.22, 0.01, 0.26, 0.00, 0.05, 0.01, 0.01, 0.25, 1.48, 0.46
2014, 0.01, 1.00, 1.28, 0.53, 0.01, 0.00, 0.01, 0.08, 0.01, 0.01, 0.37, 4.50
2015, 0.42, 0.28, 0.93, 0.02, 2.39, 0.04, 1.71, 0.01, 1.24, 0.43, 1.54, 0.88
2016, 3.21, 0.05, 0.76, 0.55, 0.44, 0.01, 0.01, 0.00, 0.32, 0.07, 0.61, 4.22
2017, 3.01, 3.71, 0.08, 0.01, 0.92, 0.02, 0.01, 0.01, 0.08, 0.01, 0.02, 0.07
2018, 1.78, 0.36, 0.95, 0.02, 0.12, 0.01, 0.01, 0.02, 0.01, 0.57, 0.81, 3.02
2019, 2.80, 3.42, 1.23, 0.16, 0.80, 0.01, 0.01, 0.00, 0.11, 0.00, 2.72, 4.03
2020, 0.48, 0.38, 2.15, 3.68, 0.02, 0.14, 0.00, 0.01, 0.00, 0.12, 0.26, 0.60
2021, 1.80, 0.10, 1.48, 0.07, 0.07, 0.01, 0.01, 0.23, 0.50, 1.01, 0.01, 2.58
2022, 0.16, 0.70, 1.61, 0.02, 0.02, 0.01, 0.00, 0.01, 0.65, 0.09, 1.07, 1.58
2023, 5.14, 1.78, 3.97, 0.12, 0.09, 0.03, 0.00, 1.84, 0.05, 0.01, 0.61, 0.79
2024, 3.65, 4.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
